user,question__text,question__step,response,user_group,factor
0,This approach supports me in getting to know the new genre.,7,2.0,BS,helpfulness
0,This approach motivates me to more delve into the new genre.,7,5.0,BS,helpfulness
0,This approach is useful in exploring a new genre.,7,2.0,BS,helpfulness
0,I found it easy to modify the recommendations in the recommender.,6,2.0,BS,control
0,The recommender allows only limited control to modify the recommendations.,6,6.0,BS,control
0,I feel in control of modifying the recommendations.,6,2.0,BS,control
0,I can notice the recommendations going in the direction of the target.,6,2.0,BS,direction
0,The recommended songs seem to be in between my preferences and the target.,6,2.0,BS,direction
0,I feel like the recommended songs take my preferences into account.,6,2.0,BS,personalization
0,I find the songs from the playlist appealing.,6,2.0,BS,personalization
0,I would listen to the playlist again.,6,2.0,BS,personalization
0,I understand how the recommended songs relate to my musical taste.,6,2.0,BS,understandability
0,It is easy to grasp why I received these recommended songs.,6,5.0,BS,understandability
0,The recommendation process is clear to me.,6,5.0,BS,understandability
0,I enjoy the music from [target taste].,6,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the start of the experiment.,6,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the previous step.,6,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the previous step.,5,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the start of the experiment.,5,2.0,BS,affinity
0,I enjoy the music from [target taste].,5,2.0,BS,affinity
0,The recommendation process is clear to me.,5,5.0,BS,understandability
0,It is easy to grasp why I received these recommended songs.,5,5.0,BS,understandability
0,I understand how the recommended songs relate to my musical taste.,5,2.0,BS,understandability
0,I would listen to the playlist again.,5,2.0,BS,personalization
0,I find the songs from the playlist appealing.,5,2.0,BS,personalization
0,I feel like the recommended songs take my preferences into account.,5,1.0,BS,personalization
0,The recommended songs seem to be in between my preferences and the target.,5,1.0,BS,direction
0,I can notice the recommendations going in the direction of the target.,5,2.0,BS,direction
0,I feel in control of modifying the recommendations.,5,2.0,BS,control
0,I feel in control of modifying the recommendations.,4,2.0,BS,control
0,I can notice the recommendations going in the direction of the target.,4,2.0,BS,direction
0,The recommended songs seem to be in between my preferences and the target.,4,3.0,BS,direction
0,I feel like the recommended songs take my preferences into account.,4,1.0,BS,personalization
0,I find the songs from the playlist appealing.,4,2.0,BS,personalization
0,I would listen to the playlist again.,4,2.0,BS,personalization
0,I understand how the recommended songs relate to my musical taste.,4,2.0,BS,understandability
0,It is easy to grasp why I received these recommended songs.,4,2.0,BS,understandability
0,The recommendation process is clear to me.,4,2.0,BS,understandability
0,I enjoy the music from [target taste].,4,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the start of the experiment.,4,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the previous step.,4,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the previous step.,3,2.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the start of the experiment.,3,3.0,BS,affinity
0,I enjoy the music from [target taste].,3,3.0,BS,affinity
0,The recommendation process is clear to me.,3,2.0,BS,understandability
0,It is easy to grasp why I received these recommended songs.,3,2.0,BS,understandability
0,I understand how the recommended songs relate to my musical taste.,3,1.0,BS,understandability
0,I would listen to the playlist again.,3,2.0,BS,personalization
0,I find the songs from the playlist appealing.,3,3.0,BS,personalization
0,I feel like the recommended songs take my preferences into account.,3,1.0,BS,personalization
0,The recommended songs seem to be in between my preferences and the target.,3,2.0,BS,direction
0,I can notice the recommendations going in the direction of the target.,3,2.0,BS,direction
0,I feel in control of modifying the recommendations.,3,1.0,BS,control
0,I feel in control of modifying the recommendations.,2,2.0,BS,control
0,I can notice the recommendations going in the direction of the target.,2,4.0,BS,direction
0,The recommended songs seem to be in between my preferences and the target.,2,2.0,BS,direction
0,I feel like the recommended songs take my preferences into account.,2,2.0,BS,personalization
0,I find the songs from the playlist appealing.,2,3.0,BS,personalization
0,I would listen to the playlist again.,2,4.0,BS,personalization
0,I understand how the recommended songs relate to my musical taste.,2,3.0,BS,understandability
0,It is easy to grasp why I received these recommended songs.,2,4.0,BS,understandability
0,The recommendation process is clear to me.,2,3.0,BS,understandability
0,I enjoy the music from [target taste].,2,4.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the start of the experiment.,2,4.0,BS,affinity
0,My enjoyment of music from [target taste] has increased since the previous step.,2,5.0,BS,affinity
0,I enjoy the music from [target taste].,1,4.0,BS,affinity
0,The recommendation process is clear to me.,1,3.0,BS,understandability
0,It is easy to grasp why I received these recommended songs.,1,4.0,BS,understandability
0,I understand how the recommended songs relate to my musical taste.,1,2.0,BS,understandability
0,I would listen to the playlist again.,1,4.0,BS,personalization
0,I find the songs from the playlist appealing.,1,3.0,BS,personalization
0,I feel like the recommended songs take my preferences into account.,1,2.0,BS,personalization
0,The recommended songs seem to be in between my preferences and the target.,1,5.0,BS,direction
0,I can notice the recommendations going in the direction of the target.,1,3.0,BS,direction
0,I feel in control of modifying the recommendations.,1,2.0,BS,control
1,This approach supports me in getting to know the new genre.,7,5.0,SSP,helpfulness
1,This approach motivates me to more delve into the new genre.,7,5.0,SSP,helpfulness
1,This approach is useful in exploring a new genre.,7,5.0,SSP,helpfulness
1,I found it easy to modify the recommendations in the recommender.,6,3.0,SSP,control
1,The recommender allows only limited control to modify the recommendations.,6,4.0,SSP,control
1,I feel in control of modifying the recommendations.,6,3.0,SSP,control
1,I can notice the recommendations going in the direction of the target.,6,5.0,SSP,direction
1,The recommended songs seem to be in between my preferences and the target.,6,4.0,SSP,direction
1,I feel like the recommended songs take my preferences into account.,6,2.0,SSP,personalization
1,I find the songs from the playlist appealing.,6,4.0,SSP,personalization
1,I would listen to the playlist again.,6,5.0,SSP,personalization
1,I understand how the recommended songs relate to my musical taste.,6,3.0,SSP,understandability
1,It is easy to grasp why I received these recommended songs.,6,6.0,SSP,understandability
1,The recommendation process is clear to me.,6,5.0,SSP,understandability
1,I enjoy the music from [target taste].,6,5.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the start of the experiment.,6,5.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the previous step.,6,5.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the previous step.,5,4.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the start of the experiment.,5,5.0,SSP,affinity
1,I enjoy the music from [target taste].,5,4.0,SSP,affinity
1,The recommendation process is clear to me.,5,4.0,SSP,understandability
1,It is easy to grasp why I received these recommended songs.,5,4.0,SSP,understandability
1,I understand how the recommended songs relate to my musical taste.,5,3.0,SSP,understandability
1,I would listen to the playlist again.,5,3.0,SSP,personalization
1,I find the songs from the playlist appealing.,5,3.0,SSP,personalization
1,I feel like the recommended songs take my preferences into account.,5,3.0,SSP,personalization
1,The recommended songs seem to be in between my preferences and the target.,5,4.0,SSP,direction
1,I can notice the recommendations going in the direction of the target.,5,4.0,SSP,direction
1,I feel in control of modifying the recommendations.,5,3.0,SSP,control
1,I feel in control of modifying the recommendations.,4,4.0,SSP,control
1,I can notice the recommendations going in the direction of the target.,4,4.0,SSP,direction
1,The recommended songs seem to be in between my preferences and the target.,4,4.0,SSP,direction
1,I feel like the recommended songs take my preferences into account.,4,3.0,SSP,personalization
1,I find the songs from the playlist appealing.,4,4.0,SSP,personalization
1,I would listen to the playlist again.,4,5.0,SSP,personalization
1,I understand how the recommended songs relate to my musical taste.,4,4.0,SSP,understandability
1,It is easy to grasp why I received these recommended songs.,4,5.0,SSP,understandability
1,The recommendation process is clear to me.,4,5.0,SSP,understandability
1,I enjoy the music from [target taste].,4,4.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the start of the experiment.,4,4.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the previous step.,4,5.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the previous step.,3,4.0,SSP,affinity
1,My enjoyment of music from [target taste] has increased since the start of the experiment.,3,4.0,SSP,affinity
1,I enjoy the music from [target taste].,3,3.0,SSP,affinity
1,The recommendation process is clear to me.,3,4.0,SSP,understandability
1,It is easy to grasp why I received these recommended songs.,3,4.0,SSP,understandability
1,I understand how the recommended songs relate to my musical taste.,3,4.0,SSP,understandability
1,I would listen to the playlist again.,3,4.0,SSP,personalization
1,I find the songs from the playlist appealing.,3,4.0,SSP,personalization
1,I feel like the recommended songs take my preferences into account.,3,4.0,SSP,personalization
1,The recommended songs seem to be in between my preferences and the target.,3,5.0,SSP,direction
1,I can notice the recommendations going in the direction of the target.,3,5.0,SSP,direction
